Experiment_ID,Rxn_temp,Pd_mol%,Ligand_Name,Ligand_SMILES,Ligand_mol%,E-PR_AY,Ligand_SELFIES,E-PR_AY_shuffled,Ligand_Big_SMILES
132,31.77157020568848,4.2,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,8.200000000000001,69.29735009543691,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],51.2669566175028,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
133,31.77157020568848,4.1,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,8.4,67.44843551178369,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],72.96021524921514,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
134,31.77157020568848,4.1,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,8.4,69.20789826652408,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],6.794016128843881,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
135,31.77157020568848,4.8,P(C6F5)2Ph,C1=CC=C(C=C1)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,14.8,3.436679220342048,[C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][P][Branch2_1][Ring1][Branch1_2][C][=C][Branch1_1][P][C][Branch1_2][=N][=C][Branch1_1][Branch2_2][C][Branch1_2][Branch1_1][=C][Ring1][Branch1_2][F][F][F][F][F][C][=C][Branch1_1][P][C][Branch1_2][=N][=C][Branch1_1][Branch2_2][C][Branch1_2][Branch1_1][=C][Ring1][Branch1_2][F][F][F][F][F],58.63264236577543,{[$]1=CC=C(C=C1)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F}
136,31.77157020568848,4.1,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,7.800000000000001,72.08473911418984,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],56.71068531530175,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
137,17.557064056396484,4.9,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,10.2,41.48203903752068,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],9.26408356820886,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
138,17.557064056396484,4.7,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,2.4000000000000004,45.52032500705908,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],64.88267001779951,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
139,17.557064056396484,4.0,PEt3,CCP(CC)CC,8.200000000000001,5.132233035354402,[C][C][P][Branch1_1][Ring1][C][C][C][C],7.892511824967622,{[$]CP(CC)CC}
140,17.557064056396484,3.7,Ph2P(CH2)3Si(OEt)3,CCO[Si](CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC,9.6,11.732687295499478,[C][C][O][Siexpl][Branch2_1][Ring1][Branch1_3][C][C][C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Ring2][O][C][C][O][C][C],2.550481181169747,{[$]CO[Si](CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC}
141,17.557064056396484,1.9,PhAtaPhos,CN(C)C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,1.2000000000000002,29.83027798601053,[C][N][Branch1_1][C][C][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],45.548611510944895,{[$]N[$]C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3}
142,17.557064056396484,1.9,"P(3,5-Me2-4-OMe-Ph)3",CC1=CC(=CC(=C1OC)C)P(C2=CC(=C(C(=C2)C)OC)C)C3=CC(=C(C(=C3)C)OC)C,1.0,14.48117595816712,[C][C][=C][C][Branch1_2][O][=C][C][Branch1_2][Branch1_2][=C][Ring1][Branch1_2][O][C][C][P][Branch2_1][Ring1][Ring1][C][=C][C][Branch1_2][=N][=C][Branch1_1][Branch2_1][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][O][C][C][C][=C][C][Branch1_2][=N][=C][Branch1_1][Branch2_1][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][O][C][C],35.208167618802015,{[$]C1=CC(=CC(=C1OC)C)P(C2=CC(=C(C(=C2)C)OC)C)C3=CC(=C(C(=C3)C)OC)C}
143,17.557064056396484,3.8,P(C6F5)2Ph,C1=CC=C(C=C1)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,7.6,2.796975807034607,[C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][P][Branch2_1][Ring1][Branch1_2][C][=C][Branch1_1][P][C][Branch1_2][=N][=C][Branch1_1][Branch2_2][C][Branch1_2][Branch1_1][=C][Ring1][Branch1_2][F][F][F][F][F][C][=C][Branch1_1][P][C][Branch1_2][=N][=C][Branch1_1][Branch2_2][C][Branch1_2][Branch1_1][=C][Ring1][Branch1_2][F][F][F][F][F],71.78526628934588,{[$]1=CC=C(C=C1)P(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F}
144,17.557064056396484,1.9,Ph2P(CH2)3Si(OEt)3,CCO[Si](CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC,1.2000000000000002,17.768494268274686,[C][C][O][Siexpl][Branch2_1][Ring1][Branch1_3][C][C][C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Ring2][O][C][C][O][C][C],50.63673492179032,{[$]CO[Si](CCCP(C1=CC=CC=C1)C2=CC=CC=C2)(OCC)OCC}
145,33.84888458251953,4.1,RockPhos,CC1=C(C(=C(C=C1)OC)P(C(C)(C)C)C(C)(C)C)C2=C(C=C(C=C2C(C)C)C(C)C)C(C)C,11.6,2.8370674678742684,[C][C][=C][Branch2_1][Ring1][S][C][Branch1_2][Branch2_3][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][O][C][P][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][C][=C][Branch2_1][Ring1][Ring1][C][=C][Branch1_1][Branch2_3][C][=C][Ring1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C],0.7017836179959207,{[$]C1=C(C(=C(C=C1)OC)P(C[$][$]C)C[$][$]C)C2=C(C=C(C=C2C[$]C)C[$]C)C[$]C}
146,33.84888458251953,4.2,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,7.6,71.3397033203134,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],27.554509386176868,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
147,33.84888458251953,3.8,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,6.6000000000000005,68.31143871732651,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],5.405959709656598,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
148,33.84888458251953,3.8,PEt3,CCP(CC)CC,10.0,0.0,[C][C][P][Branch1_1][Ring1][C][C][C][C],1.7896953233231776,{[$]CP(CC)CC}
149,33.84888458251953,3.9,AtaPhos,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,12.2,0.9068965269923706,[C][C][Branch1_1][C][C][Branch1_1][C][C][P][Branch1_1][S][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][N][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C],30.82003355579568,{[$]C[$][$]P(C1=CC=C(C=C1)N[$]C)C[$][$]C}
150,33.84888458251953,3.6,AtaPhos,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,11.6,1.0049768466004154,[C][C][Branch1_1][C][C][Branch1_1][C][C][P][Branch1_1][S][C][=C][C][=C][Branch1_1][Branch1_1][C][=C][Ring1][Branch1_2][N][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C],72.72938800917574,{[$]C[$][$]P(C1=CC=C(C=C1)N[$]C)C[$][$]C}
151,33.84888458251953,3.9,"1-Cy2P-2,4,6-MeO-Ph2",COC1=CC(=C(C(=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)OC,12.2,4.017882709464438,[C][O][C][=C][C][Branch2_2][Ring2][Branch1_3][=C][Branch1_1][Branch2_2][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][C][C][C][C][C][Ring1][Branch1_2][C][C][C][C][C][C][Ring1][Branch1_2][O][C],19.644505289405725,{[$]OC1=CC(=C(C(=C1)OC)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)OC}
152,33.84888458251953,4.5,PhSPhos,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,8.4,72.70155493377281,[C][O][C][=C][Branch1_1][O][C][Branch1_2][Branch1_2][=C][C][=C][Ring1][Branch1_2][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],1.0049768466004154,{[$]OC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4}
153,16.66618537902832,2.8,PallylPh2,C=CCP(C1=CC=CC=C1)C2=CC=CC=C2,11.2,0.2619104054902362,[C][=C][C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],69.29735009543691,{[$]=CCP(C1=CC=CC=C1)C2=CC=CC=C2}
