index,SMILES,Fragments
0,CCCCCCc1c(C#CC2=C3CCC4N3[Zn@@]35n6c2ccc6C(=C2N3C(CC2)C(=c2n5c(=C4c3c(C)cc(cc3C)C)cc2)C#Cc2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)c2c(C)cc(cc2C)C)sc(c1CCCCCC)C=C(C#N)C#N,
2,CCCCCCc1c(/C=C/c2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)sc(c1CCCCCC)C#CC1=C2CCC3N2[Zn@]24n5c1ccc5C(=C1N2C(CC1)C(=c1n4c(=C3c2c(C)cc(cc2C)C)cc1)C#Cc1sc(c(c1CCCCCC)CCCCCC)/C=C/c1sc(c(c1CCCCCC)CCCCCC)C=C(C#N)C#N)c1c(C)cc(cc1C)C,
3,CCCC[C@H](Cn1c2cc(ccc2c2c1c1c(c3c2n(C[C@H](CCCC)CC)c2c3cccc2)n(c2c1cccc2)C[C@@H](CCCC)CC)c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@H](CCCC)CC)c1c2c2n(C[C@@H](CCCC)CC)c3c(c2c2c1c1ccccc1n2C[C@H](CCCC)CC)cccc3)CC,
5,CCCC[C@@H](Cn1c2cc(ccc2c2c1c1c3ccccc3n(c1c1c2n(C[C@@H](CCCC)CC)c2c1cccc2)C[C@H](CCCC)CC)c1ccc(s1)c1ncc(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@@H](CCCC)CC)c1c2c2c(c3c1c1ccccc1n3C[C@@H](CCCC)CC)c1c(n2C[C@H](CCCC)CC)cccc1)CC,
6,CCCC[C@H](Cn1c2cc(ccc2c2c1c1c(c3c2n(C[C@H](CCCC)CC)c2c3cccc2)n(c2c1cccc2)C[C@@H](CCCC)CC)c1ccc(s1)[C@@H]1[S]=C(c2c1nsn2)c1ccc(s1)c1ccc2c(c1)n(C[C@H](CCCC)CC)c1c2c2n(C[C@@H](CCCC)CC)c3c(c2c2c1c1ccccc1n2C[C@H](CCCC)CC)cccc3)CC,
7,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccccc1)C#N,
9,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(Cc1ccccc1)Cc1ccccc1)c1ccccc1)C#N,
10,N#C[C](c1nc(c(s1)[CH]c1ccc(cc1)N(c1cccc2c1cccc2)c1ccccc1)c1ccccc1)C#N,
11,CCCC[C@H](C[Si]1(C[C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,
12,CCCC[C@H](CSc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)c1ccc(s1)SC[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)CC,
13,CCCCCCc1ccc(c2c1C1=N/C/2=C\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=C\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,
14,CCCCCCc1ccc(c2c1/C/1=C\c3[nH]c(c4c3c(CCCCCC)ccc4CCCCCC)/N=C/3\N=C(/C=c/4\[nH]/c(=C/C2=N1)/c1c(CCCCCC)ccc(c41)CCCCCC)c1c3c(CCCCCC)ccc1CCCCCC)CCCCCC,
15,CCCCCC[C]1C=C[C](C2=C1C1=N/C/2=N\c2[nH]c(c3c2c(CCCCCC)ccc3CCCCCC)/C=C\2/N=C(/C=c\3/[nH]/c(=N\1)/c1c(CCCCCC)ccc(c31)CCCCCC)c1c(CCCCCC)ccc(c21)CCCCCC)CCCCCC,
16,CCCC[C@H](Cc1cc(sc1c1ccc(s1)c1sc(cc1C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)C[C@@H](CCCC)CC)CC,
17,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)OC[C@H](CCCC)CC)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,
18,CCCCCCc1ccc(s1)c1ccc(s1)c1cc(F)c(c2c1nsn2)c1cc2c(s1)c(C#C[Si](C(C)C)(C(C)C)C(C)C)c1c(c2C#C[Si](C(C)C)(C(C)C)C(C)C)sc(c1)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC,
19,CCCC[C@H](COc1ccc(cc1)c1c2cc(sc2c(c2c1sc(c2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(cc1)OC[C@H](CCCC)CC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)CC,
20,CCCC[C@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\c1ccc(s1)c1ccc(s1)CCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\c1ccc(s1)c1ccc(s1)CCCCCC)CC,
21,CCCCCCCCN1C(S/C(=C\c2sc(c(c2)CCCCCC)c2ccc(s2)c2sc(c(c2)CCCCCCCC)c2cc3c(s2)c(OC[C@H](CCCC)CC)c2c(c3OC[C@@H](CCCC)CC)sc(c2)c2sc(cc2CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C/2\SC(N(C2=O)CCCCCCCC)[C](C#N)C#N)/C1=O)[C](C#N)C#N,
22,CCCCCCCCN1C(=O)C(SC1=C(C#N)C#N)[CH]c1sc(c(c1)CCCCCC)c1ccc(s1)c1sc(c(c1)CCCCCCCC)c1cc2c(s1)c(c1ccc(s1)C[C@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@@H](CCCC)CC)sc(c1)c1sc(cc1CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CCCCCCCC,
23,CCCCCCCCn1c2cc(ccc2c2c1cc(cc2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)CCCCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)CCCCCCCC,
24,CCCCCCCCCCCCCCCCn1c2cc3sc(cc3cc2c2c1cc1sc(cc1c2)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CCCCCCCC,
25,N#CC(=C(C(=C(C#N)C#N)c1ccc(c2c1nsn2)n1c2ccccc2c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,
26,N#C[C](c1ccc(cc1)[C](C(=C(C#N)C#N)c1ccc(c2c1nsn2)n1c2ccccc2c2c1cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,
27,N#CC(=C(c1ccc(c2c1nsn2)C#Cc1c2ccccc2cc2c1cccc2)C(=C(C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,
28,N#CC(=C(C(=C(C#N)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1sc2c(n1)cccc2)C#N,
29,N#CC(=C([C](c1ccc(cc1)[C](C#N)C#N)c1ccc(cc1)c1sc2c(n1)cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C#N,
30,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1nsnc(c1=O)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,
31,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,
32,CCCC[C@H](Cc1cc(sc1c1ccc(s1)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1c(F)c(F)c(c2c1nsn2)c1cc(c(s1)c1ccc(s1)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)C[C@@H](CCCC)CC)CC,
33,CCCC[C@H](Cn1c2ccc(cc2c2c1cccc2)c1ccc(s1)c1ccc(s1)c1nsnc(c1=O)c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n2C[C@H](CCCC)CC)CC,
34,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,
35,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1cc(F)c(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,
36,CCCCCCCCOc1c2[S]=C(Cc2c(c2c1cc(s2)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC)OCCCCCCCC)c1sc(cc1CCCCCC)c1ccc(c2c1nn(n2)CCCCCCCC)c1scc(c1)CCCCCC,
37,CCCCCCCCc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N)c1ccc(s1)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C(\C(=O)OCCCCCCCC)/C#N,
38,s1nc2c(n1)c(ccc2c1ccc(s1)c1ccc2c(c1)cccc2)c1ccc(s1)c1ccc2c(c1)cccc2,
39,s1nc2c(n1)c(ccc2c1ccc(s1)c1cc2c(s1)cccc2)c1ccc(s1)c1cc2c(s1)cccc2,
