Experiment_ID,Rxn_temp,Pd_vol,554-70-1_vol,6476-37-5_vol,1000171-05-0_vol,117672-33-0_vol,53111-20-9_vol,2741-38-0_vol,224311-51-7_vol,5074-71-5_vol,1262046-34-3_vol,739-58-2_vol,657408-07-6_vol,856407-37-9_vol,23897-15-6_vol,121898-64-4_vol,1308652-66-5_vol,6163-58-2_vol,52090-23-0_vol,322647-83-6_vol,1620882-90-7_vol,932710-63-9_vol,819867-24-8_vol,4731-53-7_vol,2234-97-1_vol,E-Tosyl_IS_vol,ArBA_vol,ACN_vol,K3PO4_vol,IS,ArBA,E-Tosyl,Z-PR,E-PR,E-PR AY,Z-PR AY
15,32.81068801879883,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,116.0,59.99999999999999,445.94864,5724.58105,839.58221,528.5141,490.75406,16.146127429203506,15.986429950543183
16,32.81068801879883,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,114.0,59.99999999999999,279.57159,1913.81091,91.69331,1759.10522,150.39,7.892511824967622,84.87475538047339
17,35.14908218383789,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,29.999999999999996,120.0,59.99999999999999,404.51038,4797.21777,488.51184,519.27411,1235.35498,44.807572716823735,17.315967194191654
18,35.14908218383789,48.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,11.0,59.99999999999999,462.58646,4155.10938,350.68335,1378.2959,1083.94177,34.379721467506855,40.191045356364306
19,35.14908218383789,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,26.0,59.99999999999999,425.54047,6051.63574,1150.55469,11.78528,0.0,0.0,0.3735758479563648
20,35.14908218383789,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,29.999999999999996,132.0,59.99999999999999,285.67493,2927.62085,146.13196,1024.40393,741.46704,38.08106091381557,48.370308909395725
21,35.14908218383789,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,20.0,29.999999999999996,8.0,59.99999999999999,381.86035,5675.72461,1007.53107,27.10008,15.66301,0.6018107999953386,0.9572949354914696
22,35.14908218383789,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,29.999999999999996,94.0,59.99999999999999,408.53793,3313.98535,7.54845,1402.09509,1624.35645,58.3362182169964,46.29401404420393
23,35.14908218383789,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,29.999999999999996,124.0,59.99999999999999,398.55469,4426.45264,275.16745,660.68121,1561.84949,57.49638956018809,22.360617163205383
24,35.14908218383789,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,2.0,59.99999999999999,383.4035,3540.84521,8.84074,1546.86414,1321.87561,50.585242309785905,54.42216981446439
25,10.369974136352539,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,29.999999999999996,137.0,59.99999999999999,389.9906,4807.30127,421.7886,1941.25854,47.57118,1.7896953233231776,67.14427590321408
26,10.369974136352539,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,137.0,59.99999999999999,397.74835,5644.27393,944.47504,301.62793,174.91359,6.452150442559975,10.229229480826255
27,10.369974136352539,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,46.0,59.99999999999999,376.01944,6052.19092,1020.11835,13.68956,17.98557,0.7017836179959207,0.49108757472751946
28,10.369974136352539,12.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,114.0,59.99999999999999,392.41028,5872.59912,1081.32031,0.0,16.13705,0.6033552372786971,0.0
29,10.369974136352539,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,97.0,59.99999999999999,429.12543,6233.42139,1155.19568,0.0,0.0,0.0,0.0
30,10.369974136352539,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,29.999999999999996,57.0,59.99999999999999,358.84384,5746.39697,800.63074,240.23016,210.56764,8.609450880026253,9.030291918178115
31,10.369974136352539,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,74.0,59.99999999999999,391.27554,5158.41602,687.12488,501.96399,483.96692,18.1477294753462,17.304920877778358
32,10.369974136352539,50.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,64.0,59.99999999999999,458.65823,5153.65674,799.76392,1021.06885,255.73802,8.180793418751039,30.029326450001786
33,36.366249084472656,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,20.0,29.999999999999996,88.0,59.99999999999999,420.76016,2627.67212,46.80091,1294.3407,1819.14185,63.43387934637158,41.49480716591609
34,36.366249084472656,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,42.0,59.99999999999999,394.73795,4042.21167,35.37024,1906.03589,796.33942,29.599109916439502,65.13312976421447
35,36.366249084472656,50.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,42.0,59.99999999999999,423.41583,6152.70117,1163.50488,0.0,0.0,0.0,0.0
36,36.366249084472656,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,29.999999999999996,116.0,59.99999999999999,298.67191,3323.2959,209.76474,484.62769,1151.37183,56.560148189898406,21.887371030004125
37,36.366249084472656,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,108.0,59.99999999999999,282.28479,2636.71802,54.41041,1400.42773,650.93536,33.83293730391921,66.91954479718869
38,36.366249084472656,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,20.0,29.999999999999996,120.0,59.99999999999999,414.41187,4562.16992,258.35165,718.77856,1690.11768,59.83758766600967,23.39605763666953
39,36.366249084472656,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,78.0,59.99999999999999,267.12286,2446.18311,6.70845,1996.67322,55.99625,3.0756520800952796,100.82673218076506
40,36.366249084472656,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,20.0,29.999999999999996,113.0,59.99999999999999,282.53946,3253.75781,192.12241,465.98807,1109.78821,57.630224879455774,22.247204253274923
41,14.3204345703125,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,20.0,59.99999999999999,423.18286,6216.35352,1167.50964,90.24766,72.97991,2.530256635441237,2.8766540444005697
42,14.3204345703125,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,101.0,59.99999999999999,273.93387,2538.729,50.73646,1991.2168,47.61881,2.550481181169747,98.05112239388288
43,14.3204345703125,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,102.0,59.99999999999999,390.811,5765.88818,1073.42139,0.0,0.0,0.0,0.0
44,14.3204345703125,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,101.0,59.99999999999999,399.41531,4421.92334,425.73688,1842.50391,147.16624,5.405959709656598,62.22479364146057
45,14.3204345703125,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,29.999999999999996,81.0,59.99999999999999,383.54449,3711.0918,108.73443,2540.32397,146.53896,5.605658997004494,89.34147387003266
46,14.3204345703125,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,37.0,59.99999999999999,374.73724,6049.01367,1007.3299,13.02969,8.02561,0.31422484170508386,0.4690152716340656
47,14.3204345703125,26.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,97.0,59.99999999999999,377.38199,5856.23633,1014.30292,20.69892,9.0732,0.35275130750145234,0.7398544161580155
48,14.3204345703125,32.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,101.0,59.99999999999999,286.08185,4344.91406,488.53888,502.76996,23.94097,1.2278371096943064,23.706026755769376
49,37.96045684814453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,20.0,29.999999999999996,124.0,59.99999999999999,467.97159,4586.92041,428.79562,722.50568,1721.61194,53.97654670378602,20.82579226127808
50,37.96045684814453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,123.0,59.99999999999999,279.48981,4149.01074,534.68518,252.73271,374.21204,19.644505289405725,12.19762368148592
51,37.96045684814453,11.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,124.0,59.99999999999999,299.46884,4612.84619,641.73987,326.39017,150.032,7.350579459285315,14.701619718198396
52,37.96045684814453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,123.0,59.99999999999999,298.09033,4784.86523,775.79376,49.91517,18.18554,0.8950919101602525,2.258730526850704
53,37.96045684814453,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,20.0,29.999999999999996,127.0,59.99999999999999,254.71973,2935.80713,229.83618,368.14352,879.10138,50.636734921790314,19.49549782138981
54,37.96045684814453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,29.999999999999996,123.0,59.99999999999999,298.08014,3593.78247,488.21844,769.54504,98.75575,4.86092218018953,34.82416857614197
55,37.96045684814453,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,29.999999999999996,122.0,59.99999999999999,308.27933,2557.19727,32.83574,2091.15698,212.51575,10.114304724874028,91.50018751896212
56,37.96045684814453,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,124.0,59.99999999999999,402.91107,4214.26074,295.3728,2302.9248,63.21013,2.3017958463141754,77.09927807940348
57,22.518356323242188,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,122.0,59.99999999999999,326.93417,4488.31982,267.03528,2032.50281,51.10396,2.2934198071740255,83.85917692265082
58,22.518356323242188,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,29.999999999999996,134.0,59.99999999999999,408.92838,4789.09766,572.6109,504.28552,1028.74536,36.91050232786484,16.63447124721449
59,22.518356323242188,46.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,85.0,59.99999999999999,408.03729,3560.80127,285.79599,2299.06958,64.27895,2.3113102099075307,76.00322403038213
60,22.518356323242188,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,126.0,59.99999999999999,254.19731,5314.60352,691.16882,0.0,0.0,0.0,0.0
61,22.518356323242188,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,119.0,59.99999999999999,279.09091,2860.67114,102.76711,1873.98682,36.42184,1.9147210365253389,90.57338418861438
62,22.518356323242188,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.0,29.999999999999996,97.0,59.99999999999999,262.51413,2747.56006,35.87944,832.68372,999.89465,55.884436791269096,42.786537620203525
63,22.518356323242188,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,122.0,59.99999999999999,327.20761,5502.68457,885.97363,16.9529,5.62053,0.2520247501578585,0.698876374238362
64,22.518356323242188,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,20.0,29.999999999999996,126.0,59.99999999999999,353.28091,5088.74023,550.19879,338.53058,812.12299,33.728028240416386,12.925801718581399
65,25.98479461669922,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,29.999999999999996,83.0,59.99999999999999,440.07407,3351.60938,102.48827,1088.37195,1946.1001,64.88267001779951,33.360405064424725
66,25.98479461669922,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,48.0,59.99999999999999,405.07513,6000.96143,1032.5874,113.14464,0.0,0.0,3.7677160011279884
67,25.98479461669922,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,20.0,29.999999999999996,42.0,59.99999999999999,426.18979,5849.33643,1134.43127,96.07814,13.72693,0.4725629794181601,3.040894129490995
68,25.98479461669922,28.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,67.0,59.99999999999999,392.90753,5810.4043,1045.25696,28.05357,30.94759,1.1556486089233262,0.9631136510160547
69,25.98479461669922,41.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,44.0,59.99999999999999,301.95026,4694.37012,810.27136,0.0,0.0,0.0,0.0
70,25.98479461669922,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,57.0,59.99999999999999,296.41989,4548.83545,774.36487,35.77135,32.12045,1.5898772595860553,1.62782511035275
71,25.98479461669922,42.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,40.0,59.99999999999999,296.41907,4387.02393,748.96393,106.0694,28.58288,1.4147808214903315,4.8268491517769085
72,25.98479461669922,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,20.0,29.999999999999996,99.0,59.99999999999999,395.04529,3901.11084,87.47565,991.38007,1680.23206,62.403894966878354,33.851120625257934
73,27.452526092529297,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,20.0,29.999999999999996,84.0,59.99999999999999,466.67603,3737.38916,86.86099,1265.68103,2016.28784,63.39081779812003,36.58377614481292
74,27.452526092529297,33.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,101.0,59.99999999999999,305.18958,3330.26953,297.17712,593.10498,818.47858,39.34838707717348,26.214502720636794
75,27.452526092529297,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,107.0,59.99999999999999,304.69781,2019.05859,33.89986,2317.36621,60.37974,2.907443100034096,102.59001469912108
76,27.452526092529297,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.999999999999996,105.0,59.99999999999999,426.79926,3993.21411,207.13174,2212.69116,479.61322,16.487575830942163,69.9321527812396
