Unnamed: 0,Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Contact_angle,Thickness,Solvent_solubility_parameter,xw_(wt%),Temperature,Permeate_pressure,J_total_flux,a_separation_factor,PS_pair_aug,Thickness_(um),Solvent_solubility_parameter_(MPa1/2),Temperature_(C),Permeate_pressure_(mbar),J_Total_flux_(kg/m-2h-1),a_Separation_factor_(w/o),PS_pair_tokenized_aug
0,chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,5.0,,,,,"['NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O', 'C1(OC2C(OC(C)C(N)C2O)CO)OC(CO)C(C(O)C1N)OC.OC(C)C', 'C1(OC2OC(C(C(O)C2N)OC)CO)C(C(N)C(OC1CO)C)O.C(C)(O)C', 'O(C1C(C(C(C(O1)CO)OC)O)N)C1C(OC(C)C(C1O)N)CO.CC(O)C', 'C(O)C1OC(C)C(C(O)C1OC1C(C(C(OC)C(O1)CO)O)N)N.C(C)(C)O']",40.0,23.5,30,13.3,0.0378,606.617647,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 10, 2, 3, 5, 4, 2, 3, 5, 2, 8, 5, 2, 3, 2, 5, 4, 2, 3, 5, 3, 2, 4, 4, 2, 3, 5, 4, 2, 8, 11, 4, 2, 3, 2, 5, 4, 5, 2, 10, 3, 2, 4, 7, 2, 2, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 5, 2, 10, 2, 3, 5, 2, 3, 2, 4, 2, 3, 11, 4, 2, 10, 5, 4, 2, 5, 4, 5, 2, 3, 2, 5, 4, 2, 3, 2, 3, 5, 4, 2, 8, 11, 4, 5, 2, 7, 5, 2, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 5, 2, 10, 5, 2, 3, 2, 3, 2, 3, 5, 4, 2, 10, 11, 4, 5, 2, 4, 2, 5, 4, 2, 3, 2, 3, 11, 4, 2, 3, 5, 2, 8, 2, 5, 4, 2, 4, 5, 7, 2, 3, 2, 4, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 2, 8, 2, 3, 2, 3, 2, 3, 2, 3, 5, 8, 4, 2, 5, 4, 5, 2, 4, 5, 4, 11, 4, 2, 8, 2, 3, 5, 2, 3, 2, 4, 2, 3, 2, 8, 5, 4, 11, 4, 2, 5, 7, 2, 2, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 4, 2, 8, 5, 2, 3, 2, 4, 2, 3, 2, 3, 5, 4, 2, 8, 5, 2, 8, 2, 3, 2, 3, 2, 3, 5, 2, 4, 2, 3, 5, 8, 4, 2, 5, 4, 5, 4, 11, 4, 11, 7, 2, 3, 2, 4, 3, 2, 4, 5]]"
1,chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,10.0,,,,,"['NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O', 'OCC1C(C(C(N)C(O1)OC1C(C(N)C(C)OC1CO)O)O)OC.OC(C)C', 'C1(OC2C(C(C(OC2CO)C)N)O)C(C(C(C(O1)CO)OC)O)N.C(C)(O)C', 'OCC1C(OC)C(O)C(N)C(OC2C(C(N)C(C)OC2CO)O)O1.C(C)(C)O', 'C1(OC2C(C(C(OC)C(CO)O2)O)N)C(C(N)C(OC1CO)C)O.C(O)(C)C']",40.0,23.5,30,13.3,0.0523,257.352941,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 10, 2, 3, 5, 4, 2, 3, 5, 2, 8, 5, 2, 3, 2, 5, 4, 2, 3, 5, 3, 2, 4, 4, 2, 3, 5, 4, 2, 8, 11, 4, 2, 3, 2, 5, 4, 5, 2, 10, 3, 2, 4, 7, 2, 2, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 8, 2, 3, 2, 3, 2, 3, 11, 4, 2, 3, 5, 8, 4, 5, 2, 8, 2, 3, 2, 3, 11, 4, 2, 3, 2, 4, 5, 2, 8, 2, 5, 4, 5, 4, 5, 4, 5, 2, 7, 5, 2, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 5, 2, 10, 2, 3, 2, 3, 2, 3, 5, 2, 10, 2, 5, 4, 2, 4, 11, 4, 5, 4, 2, 3, 2, 3, 2, 3, 2, 3, 5, 8, 4, 2, 5, 4, 5, 2, 4, 5, 4, 11, 7, 2, 3, 2, 4, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 8, 2, 3, 5, 2, 4, 2, 3, 5, 4, 2, 3, 11, 4, 2, 3, 5, 2, 10, 2, 3, 2, 3, 11, 4, 2, 3, 2, 4, 5, 2, 10, 2, 5, 4, 5, 4, 5, 8, 7, 2, 3, 2, 4, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 5, 2, 10, 2, 3, 2, 3, 2, 3, 5, 2, 4, 2, 3, 2, 5, 4, 5, 10, 4, 5, 4, 11, 4, 2, 3, 2, 3, 11, 4, 2, 3, 5, 2, 8, 2, 5, 4, 2, 4, 5, 7, 2, 3, 5, 4, 3, 2, 4, 2]]"
2,chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,15.0,,,,,"['NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O', 'NC1C(OC2C(O)C(C(C)OC2CO)N)OC(C(OC)C1O)CO.CC(O)C', 'C1(C(O)C(C(C)OC1CO)N)OC1C(N)C(C(OC)C(O1)CO)O.C(O)(C)C', 'C1(C(OC2C(N)C(O)C(OC)C(CO)O2)C(O)C(C(C)O1)N)CO.C(C)(O)C', 'OC1C(N)C(OC(C1OC1OC(C(C(C1N)O)OC)CO)CO)C.OC(C)C']",40.0,23.5,30,13.3,0.0894,122.54902,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 10, 2, 3, 5, 4, 2, 3, 5, 2, 8, 5, 2, 3, 2, 5, 4, 2, 3, 5, 3, 2, 4, 4, 2, 3, 5, 4, 2, 8, 11, 4, 2, 3, 2, 5, 4, 5, 2, 10, 3, 2, 4, 7, 2, 2, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 8, 2, 3, 5, 2, 10, 2, 3, 5, 4, 2, 3, 2, 3, 2, 4, 5, 2, 10, 2, 5, 4, 11, 4, 5, 2, 3, 2, 3, 5, 2, 4, 2, 8, 5, 4, 2, 5, 7, 2, 2, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 2, 3, 5, 4, 2, 3, 2, 3, 2, 4, 5, 2, 8, 2, 5, 4, 11, 4, 5, 2, 8, 2, 3, 11, 4, 2, 3, 2, 3, 5, 2, 4, 2, 3, 5, 8, 4, 2, 5, 4, 5, 7, 2, 3, 5, 4, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 2, 3, 5, 2, 10, 2, 3, 11, 4, 2, 3, 5, 4, 2, 3, 5, 2, 4, 2, 3, 2, 5, 4, 5, 10, 4, 2, 3, 5, 4, 2, 3, 2, 3, 2, 4, 5, 8, 4, 11, 4, 2, 5, 7, 2, 3, 2, 4, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 8, 2, 3, 11, 4, 2, 3, 5, 2, 3, 2, 8, 5, 2, 8, 5, 2, 3, 2, 3, 2, 3, 2, 8, 11, 4, 5, 4, 5, 2, 4, 2, 5, 4, 2, 5, 4, 2, 7, 5, 2, 3, 2, 4, 2]]"
3,chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,20.0,,,,,"['NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O', 'CC1C(C(O)C(C(O1)CO)OC1C(C(C(C(O1)CO)OC)O)N)N.OC(C)C', 'C1(C)C(N)C(C(OC2OC(C(OC)C(C2N)O)CO)C(CO)O1)O.C(O)(C)C', 'C(O)C1C(OC2C(C(C(OC)C(O2)CO)O)N)C(O)C(C(O1)C)N.CC(O)C', 'OC1C(C(CO)OC(C)C1N)OC1C(N)C(O)C(OC)C(CO)O1.C(C)(C)O']",40.0,23.5,30,13.3,0.17,73.529412,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 10, 2, 3, 5, 4, 2, 3, 5, 2, 8, 5, 2, 3, 2, 5, 4, 2, 3, 5, 3, 2, 4, 4, 2, 3, 5, 4, 2, 8, 11, 4, 2, 3, 2, 5, 4, 5, 2, 10, 3, 2, 4, 7, 2, 2, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8, 2, 3, 2, 3, 5, 4, 2, 3, 2, 3, 5, 8, 4, 2, 5, 4, 5, 2, 8, 2, 3, 2, 3, 2, 3, 2, 3, 5, 8, 4, 2, 5, 4, 5, 2, 4, 5, 4, 11, 4, 11, 7, 5, 2, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 2, 4, 2, 3, 11, 4, 2, 3, 2, 3, 5, 2, 10, 5, 2, 3, 2, 3, 5, 2, 4, 2, 3, 2, 10, 11, 4, 5, 4, 2, 5, 4, 2, 3, 2, 5, 4, 5, 8, 4, 5, 7, 2, 3, 5, 4, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 4, 2, 8, 2, 3, 5, 2, 10, 2, 3, 2, 3, 2, 3, 5, 2, 4, 2, 3, 5, 10, 4, 2, 5, 4, 5, 4, 11, 4, 2, 3, 5, 4, 2, 3, 2, 3, 5, 8, 4, 2, 4, 11, 7, 2, 2, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 8, 2, 3, 2, 3, 2, 5, 4, 5, 2, 3, 2, 4, 2, 8, 11, 4, 5, 2, 8, 2, 3, 11, 4, 2, 3, 5, 4, 2, 3, 5, 2, 4, 2, 3, 2, 5, 4, 5, 8, 7, 2, 3, 2, 4, 3, 2, 4, 5]]"
4,chitosan,NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C),ipa,CC(C)O,55.1,,,25.0,,,,,"['NC2C(O)C(OC1OC(CO)C(O(C))C(O)C1N)C(CO)OC2(C).CC(C)O', 'C1(C(OC)C(O)C(C(O1)OC1C(OC(C)C(N)C1O)CO)N)CO.OC(C)C', 'CC1C(N)C(O)C(OC2OC(CO)C(C(O)C2N)OC)C(O1)CO.C(C)(O)C', 'CC1C(N)C(O)C(OC2OC(C(C(C2N)O)OC)CO)C(O1)CO.CC(O)C', 'O1C(C)C(C(O)C(C1CO)OC1C(C(O)C(OC)C(O1)CO)N)N.C(O)(C)C']",40.0,23.5,30,13.3,0.1984,49.019608,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 10, 2, 3, 5, 4, 2, 3, 5, 2, 8, 5, 2, 3, 2, 5, 4, 2, 3, 5, 3, 2, 4, 4, 2, 3, 5, 4, 2, 8, 11, 4, 2, 3, 2, 5, 4, 5, 2, 10, 3, 2, 4, 7, 2, 2, 3, 2, 4, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 3, 2, 3, 5, 2, 4, 2, 3, 5, 4, 2, 3, 2, 3, 5, 8, 4, 5, 2, 8, 2, 3, 5, 2, 3, 2, 4, 2, 3, 11, 4, 2, 8, 5, 4, 2, 5, 4, 11, 4, 2, 5, 7, 5, 2, 3, 2, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8, 2, 3, 11, 4, 2, 3, 5, 4, 2, 3, 5, 2, 10, 5, 2, 3, 2, 5, 4, 2, 3, 2, 3, 5, 4, 2, 10, 11, 4, 5, 2, 4, 2, 3, 5, 8, 4, 2, 5, 7, 2, 3, 2, 4, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8, 2, 3, 11, 4, 2, 3, 5, 4, 2, 3, 5, 2, 10, 5, 2, 3, 2, 3, 2, 3, 2, 10, 11, 4, 5, 4, 5, 2, 4, 2, 5, 4, 2, 3, 5, 8, 4, 2, 5, 7, 2, 2, 3, 5, 4, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 2, 3, 2, 4, 2, 3, 2, 3, 5, 4, 2, 3, 2, 8, 2, 5, 4, 5, 2, 8, 2, 3, 2, 3, 5, 4, 2, 3, 5, 2, 4, 2, 3, 5, 8, 4, 2, 5, 4, 11, 4, 11, 7, 2, 3, 5, 4, 3, 2, 4, 2]]"
5,pdms,[Si](C)(C)(C)O(C),n-butanol,CCCCO,104.0,,,99.0,,,,,"['[Si](C)(C)(C)O(C).CCCCO', 'CO[Si](C)(C)C.C(O)CCC', '[Si](C)(OC)(C)C.OCCCC', '[Si](OC)(C)(C)C.C(C)CCO', 'C[Si](C)(OC)C.C(CO)CC']",12.0,23.1,40,3.0,0.4364,0.028205,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 1, 1, 3, 2, 4, 3, 2, 4, 3, 2, 4, 5, 3, 2, 4, 7, 2, 2, 2, 2, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 20, 1, 1, 3, 2, 4, 3, 2, 4, 2, 7, 2, 3, 5, 4, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 1, 1, 3, 2, 4, 3, 5, 2, 4, 3, 2, 4, 2, 7, 5, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 1, 1, 3, 5, 2, 4, 3, 2, 4, 3, 2, 4, 2, 7, 2, 3, 2, 4, 2, 2, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20, 1, 1, 3, 2, 4, 3, 5, 2, 4, 2, 7, 2, 3, 2, 5, 4, 2, 2]]"
6,pdms,[Si](C)(C)(C)O(C),n-butanol,CCCCO,104.0,,,95.0,,,,,"['[Si](C)(C)(C)O(C).CCCCO', 'C[Si](OC)(C)C.C(CO)CC', 'O([Si](C)(C)C)C.OCCCC', 'O(C)[Si](C)(C)C.C(CC)CO', 'C[Si](C)(OC)C.C(CCC)O']",12.0,23.1,40,3.0,0.9849,0.028701,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 1, 1, 3, 2, 4, 3, 2, 4, 3, 2, 4, 5, 3, 2, 4, 7, 2, 2, 2, 2, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20, 1, 1, 3, 5, 2, 4, 3, 2, 4, 2, 7, 2, 3, 2, 5, 4, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 1, 20, 1, 1, 3, 2, 4, 3, 2, 4, 2, 4, 2, 7, 5, 2, 2, 2, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 2, 4, 1, 20, 1, 1, 3, 2, 4, 3, 2, 4, 2, 7, 2, 3, 2, 2, 4, 2, 5], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20, 1, 1, 3, 2, 4, 3, 5, 2, 4, 2, 7, 2, 3, 2, 2, 2, 4, 5]]"
