fold,r,r2,rmse,mae
1.0,0.7596092680146987,0.5770062400538264,2.270430945656931,1.6796356246003754
2.0,0.6047058293098856,0.3656691400013565,2.296966284793491,1.740674082673131
3.0,0.7685626691085772,0.5906885763473003,1.8624385266911192,1.445176786569904
4.0,0.7395101649411964,0.5468752840513554,2.010642660342085,1.5677522465085258
5.0,0.7402484267426014,0.5479677332948965,2.3650153487073395,1.8353064001529875
