index,DOI,SMILES
146,10.1039/c8tc05692g,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1c(F)cc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
147,10.1039/c8tc05692g,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC)c1ccc(c2c1nsn2)C#Cc1ccc2c3c1cccc3c(=O)[n+](c2=O)C[C@@H](CCCC)CC
183,10.1039/c6ta06367e,CCCCCCCCC1(CCCCCCCC)c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(CCCCCCCC)CCCCCCCC)c1ccc(c2c1nsn2)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(c2c1nsn2)CC1=[S]C(=S)N(C1=O)CC
200,10.1039/c5ta10430k,CCCCCC([N+]1C(=O)[C@H]2C[C@@H]([C@@H]3C[C@H]4[C@H]5[C@H]6[C@H]3[C@@H]3CC[C@H]7[C@H]8[C@@H]3[C@@H]([C@@H]6CC[C@H]5C(=O)[N+](C4=O)C(CCCCC)CCCCC)CC[C@H]8C(=O)[N+](C7=O)C(CCCCC)CCCCC)[C@H]3[C@@H]4[C@H]2[C@H](C1=O)CC[C@@H]4[C@@H]1[C@@H]2[C@H]3CC[C@H]3[C@@H]2[C@@H](CC1)C(=O)[N+](C3=O)C(CCCCC)CCCCC)CCCCC
201,10.1039/c5ta10430k,CCCCCC[C@@H]([n+]1c(=O)c2cc(c3c4c2c(c1=O)cc1c4c2c(s1)cc1c4c2c3ccc4c(=O)[n+](c1=O)C(CCCCC)CCCCC)c1cc2c(=O)[n+](C(CCCCC)CCCCC)c(=O)c3c2c2c1c1ccc4c5c1c1c2c(c3)sc1cc5c(=O)[n+](c4=O)C(CCCCC)CCCCC)CCCCC
255,10.1016/j.orgel.2019.03.011,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)CC1=C(C(C#N)C#N)c2c(C1=O)cccc2)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)CC1=C(C(C#N)C#N)c2c(C1=O)cccc2
256,10.1002/smll.201804271,CCCC[C@H](CC1(C[C@@H](CCCC)CC)OC2CC(SC2C2C1CC1C3SC(CC3OC(C1C2)(C[C@H](CCCC)CC)C[C@H](CCCC)CC)CC1C(O)C2C(C1C(CN)CN)CC(CC2)F)CC1C(O)C2C(C1C(CN)CN)CC(CC2)F)CC
264,10.1039/c5cc07973j,CCCCCCCCC1(CCCCCCCC)c2cc(ccc2c2c1cc(cc2)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC)c1ccc(s1)C=C1C(=O)N(CC)C(=S)N(C1=O)CC
276,10.1016/j.orgel.2016.05.012,CCC([N+]1C(=O)[C@H]2CC[C@@H]3[C@H]4[C@H]2[C@@H](C1=O)CC[C@H]4[C@H]1[C@H]2[C@H]3CC[C@H]3[C@@H]2[C@H](CC1)C(=O)[N+](C3=O)C(CC)CC)CC
440,10.1039/c7ta03815a,CCCC[C@H](C[N+]1=C(c2ccc(s2)/C=C/2\SC(=S)N(C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC)CC
441,10.1039/c7ta03815a,CCCC[C@H](C[N+]1=C(c2ccc(s2)C[C@@H]2SC(=C(C#N)C#N)[N+](C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)/C=C\1/SC(=[N+](C1=O)CC)C(C#N)C#N)CC
529,10.1039/c8ta02633e,CCCC[C@H](C[N+]1=C(c2ccc(s2)C#Cc2sc(c(c2CCCCCC)CCCCCC)C[C@@H]2SC(=C(C#N)C#N)[N+](C2=O)CC)[C@H]2[C@@H](C1=O)C(=[N+](C2=O)C[C@@H](CCCC)CC)c1ccc(s1)C#Cc1sc(c(c1CCCCCC)CCCCCC)C[C@@H]1SC(=C(C#N)C#N)[N+](C1=O)CC)CC
561,10.1039/c6ta05303c,CCCC[C@H](C[C@@H]1C(O)C2CCC(C3C2C(C1O)CCC3)C1CCC(S1)C(CC1CC(OC)C(CC1OC)CC(C1CCC(S1)C1CCC2C3C1CCCC3C(N(C2O)C[C@@H](CCCC)CC)O)CN)CN)CC
564,10.1021/acs.chemmater.8b00287,CCCCCCc1ccc(cc1)C1(c2ccc(cc2)CCCCCC)c2cc3c4sc5c(c4C(c3cc2c2c1c1sc(cc1s2)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)sc(c5)/C=C\1/C(=C(C#N)C#N)c2c(C1=O)cc(c(c2)F)F
565,10.1016/j.cclet.2019.01.031,CCCCCCCCC([C@@H]1c2cc(sc2c2c1cc1c3sc(cc3C(c1c2)(CCCCCCCC)CCCCCCCC)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cc(c(c2)F)F)/C=C/1\C(=O)c2c(C1=C(C#N)C#N)cc(c(c2)F)F)CCCCCCCC
